Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English
他除了得付学费又得付生活费，所以不得不去打两份工。,"Tā chúle dé fù xuéfèi yòu dé fù shēnghuófèi, suǒyǐ bùdébù qù dǎ liǎng fèn gōng.","He had to pay the tuition and the cost of living, so he had to have two jobs.","他除了得付学费又得付生活费，所以不得不去打两份工。 - Tā chúle dé fù xuéfèi yòu dé fù shēnghuófèi, suǒyǐ bùdébù qù dǎ liǎng fèn gōng.","Tā chúle dé fù xuéfèi yòu dé fù shēnghuófèi, suǒyǐ bùdébù qù dǎ liǎng fèn gōng. - He had to pay the tuition and the cost of living, so he had to have two jobs."
真烦人！又堵车了！,Zhēn fánrén！ Yòu dǔchē le!,So annoying! Traffic again!,真烦人！又堵车了！ - Zhēn fánrén！ Yòu dǔchē le!,Zhēn fánrén！ Yòu dǔchē le! - So annoying! Traffic again!
反正我不太同意你的看法。,Fǎnzhèng wǒ bú tài tóngyì nǐ de kànfǎ.,"Anyway, I do not really agree with your opinion.",反正我不太同意你的看法。 - Fǎnzhèng wǒ bú tài tóngyì nǐ de kànfǎ.,"Fǎnzhèng wǒ bú tài tóngyì nǐ de kànfǎ. - Anyway, I do not really agree with your opinion."
你可以想想别的办法，不一定非得这样做。,Nǐ kéyǐ xiǎngxiǎng bié de bànfǎ ， bù yídìng fēiděi zhèyàng zuò .,"You can think of other ways, you don't necessarily have to do it this way.",你可以想想别的办法，不一定非得这样做。 - Nǐ kéyǐ xiǎngxiǎng bié de bànfǎ ， bù yídìng fēiděi zhèyàng zuò .,"Nǐ kéyǐ xiǎngxiǎng bié de bànfǎ ， bù yídìng fēiděi zhèyàng zuò . - You can think of other ways, you don't necessarily have to do it this way."
早知道会下雨，我就不来了。,"Zǎo zhīdào huì xiàyǔ, wǒ jiù bù lái le .","I knew it would rain, so I didn't come.","早知道会下雨，我就不来了。 - Zǎo zhīdào huì xiàyǔ, wǒ jiù bù lái le .","Zǎo zhīdào huì xiàyǔ, wǒ jiù bù lái le . - I knew it would rain, so I didn't come."
这家酒店所有的停车位都满了。,Zhè jiā jiǔdiàn suóyǒude tíngchēwèi dōu mǎn le.,All the parking spaces at the hotel are full.,这家酒店所有的停车位都满了。 - Zhè jiā jiǔdiàn suóyǒude tíngchēwèi dōu mǎn le.,Zhè jiā jiǔdiàn suóyǒude tíngchēwèi dōu mǎn le. - All the parking spaces at the hotel are full.
这家超市的东西价格比较便宜。,Zhè jiā chāoshì de dōngxi jiàgé bǐjiào piányi.,The price of things in this supermarket is cheaper.,这家超市的东西价格比较便宜。 - Zhè jiā chāoshì de dōngxi jiàgé bǐjiào piányi.,Zhè jiā chāoshì de dōngxi jiàgé bǐjiào piányi. - The price of things in this supermarket is cheaper.
我男朋友想要给我一个难忘的情人节。,Wǒ nánpéngyou xiǎng yào gěi wǒ yí gè nánwàng de qíngrén jié.,My boyfriend wants to give me an unforgettable Valentine's Day.,我男朋友想要给我一个难忘的情人节。 - Wǒ nánpéngyou xiǎng yào gěi wǒ yí gè nánwàng de qíngrén jié.,Wǒ nánpéngyou xiǎng yào gěi wǒ yí gè nánwàng de qíngrén jié. - My boyfriend wants to give me an unforgettable Valentine's Day.
大家都觉得法国是一个浪漫的国家。,Dàjiā dōu juéde Fǎguó shì yí gè làngmàn de guójiā.,Everyone thinks France is a romantic country.,大家都觉得法国是一个浪漫的国家。 - Dàjiā dōu juéde Fǎguó shì yí gè làngmàn de guójiā.,Dàjiā dōu juéde Fǎguó shì yí gè làngmàn de guójiā. - Everyone thinks France is a romantic country.
爸爸提出这个假期我们全家人出国旅游。,Bàbɑ tíchū zhè ge jiàqī wǒmen quán jiārén chūguó lǚyóu.,Our father suggested this holiday our whole family goes to travel abroad.,爸爸提出这个假期我们全家人出国旅游。 - Bàbɑ tíchū zhè ge jiàqī wǒmen quán jiārén chūguó lǚyóu.,Bàbɑ tíchū zhè ge jiàqī wǒmen quán jiārén chūguó lǚyóu. - Our father suggested this holiday our whole family goes to travel abroad.
我们商量以后，决定这个周末办婚礼。,Wǒmen shāngliɑng yǐhòu， juédìng zhè ge zhōumò bàn hūnlǐ.,"After we discussed, we decided to have the wedding this weekend.",我们商量以后，决定这个周末办婚礼。 - Wǒmen shāngliɑng yǐhòu， juédìng zhè ge zhōumò bàn hūnlǐ.,"Wǒmen shāngliɑng yǐhòu， juédìng zhè ge zhōumò bàn hūnlǐ. - After we discussed, we decided to have the wedding this weekend."
这次没考好，他觉得有些失望。,"Zhè cì méi kǎohǎo, tā juéde yǒu xiē shīwàng.","He didn't test well this time, he feels a bit disappointed.","这次没考好，他觉得有些失望。 - Zhè cì méi kǎohǎo, tā juéde yǒu xiē shīwàng.","Zhè cì méi kǎohǎo, tā juéde yǒu xiē shīwàng. - He didn't test well this time, he feels a bit disappointed."
节日的时候，这家餐厅都会客满。,"Jiérì de shíhòu, zhè jiā cāntīng dōu huì kèmǎn.","During the holiday season, this restaurant is always full.","节日的时候，这家餐厅都会客满。 - Jiérì de shíhòu, zhè jiā cāntīng dōu huì kèmǎn.","Jiérì de shíhòu, zhè jiā cāntīng dōu huì kèmǎn. - During the holiday season, this restaurant is always full."
这次开会的程序是我们先报告才换其他人报告。,Zhè cì kāihuì de chéngxù shì wǒmen xiān bàogào cái huàn qítā rén bàogào.,The procedure for this meeting is will first report then we will switch to other's reports.,这次开会的程序是我们先报告才换其他人报告。 - Zhè cì kāihuì de chéngxù shì wǒmen xiān bàogào cái huàn qítā rén bàogào.,Zhè cì kāihuì de chéngxù shì wǒmen xiān bàogào cái huàn qítā rén bàogào. - The procedure for this meeting is will first report then we will switch to other's reports.
出国前可以到药局去买一些普通的药带着。,Chūguó qián kěyǐ dào yàojú qù mǎi yìxiē pǔtōng de yào dài zhe.,"Before going abroad, you can go to the pharmacy to buy some ordinary medicine to take with you.",出国前可以到药局去买一些普通的药带着。 - Chūguó qián kěyǐ dào yàojú qù mǎi yìxiē pǔtōng de yào dài zhe.,"Chūguó qián kěyǐ dào yàojú qù mǎi yìxiē pǔtōng de yào dài zhe. - Before going abroad, you can go to the pharmacy to buy some ordinary medicine to take with you."
在美国看病除非是有生命危险，要不然不管多严重多难受的病都得预约才能看病。,"Zài Měiguó kànbìng chúfēi shì yǒu shēngmìng wēixiǎn, yàobùrán bùguǎn duō yánzhòng duō nánshòu de bìng dōu děi yùyuē cái néng kànbìng.","In the United States to see a doctor unless there is life-threatening, or else no matter how serious and more difficult to have the opportunity to have a doctor to see a doctor.","在美国看病除非是有生命危险，要不然不管多严重多难受的病都得预约才能看病。 - Zài Měiguó kànbìng chúfēi shì yǒu shēngmìng wēixiǎn, yàobùrán bùguǎn duō yánzhòng duō nánshòu de bìng dōu děi yùyuē cái néng kànbìng.","Zài Měiguó kànbìng chúfēi shì yǒu shēngmìng wēixiǎn, yàobùrán bùguǎn duō yánzhòng duō nánshòu de bìng dōu děi yùyuē cái néng kànbìng. - In the United States to see a doctor unless there is life-threatening, or else no matter how serious and more difficult to have the opportunity to have a doctor to see a doctor."
每个人都有不同的性格，所以没有好也没有坏。,"Měi gè rén dōuyǒu bùtóng de xìnggé, suǒyǐ méiyǒu hǎo yě méiyǒu huài.","Everyone has a different personality, so there is not good and no bad.","每个人都有不同的性格，所以没有好也没有坏。 - Měi gè rén dōuyǒu bùtóng de xìnggé, suǒyǐ méiyǒu hǎo yě méiyǒu huài.","Měi gè rén dōuyǒu bùtóng de xìnggé, suǒyǐ méiyǒu hǎo yě méiyǒu huài. - Everyone has a different personality, so there is not good and no bad."
如果想要找出租的房子可以请仲介帮忙也可以自己上网找。,Rúguǒ xiǎngyào zhǎo chūzū de fángzi kěyǐ qǐng zhòngjiè bāngmáng yě kěyǐ zìjǐ shàngwǎng zhǎo.,If you want to find a rental house can be invited to help you can also find their own online.,如果想要找出租的房子可以请仲介帮忙也可以自己上网找。 - Rúguǒ xiǎngyào zhǎo chūzū de fángzi kěyǐ qǐng zhòngjiè bāngmáng yě kěyǐ zìjǐ shàngwǎng zhǎo.,Rúguǒ xiǎngyào zhǎo chūzū de fángzi kěyǐ qǐng zhòngjiè bāngmáng yě kěyǐ zìjǐ shàngwǎng zhǎo. - If you want to find a rental house can be invited to help you can also find their own online.
我知道一个还不错的仲介，他帮我找到了很不错的房子，价钱也很合理。,"Wǒ zhīdào yí gè hái búcuò de zhòngjiè, tā bāng wǒ zhǎodào le hěn búcuò de fángzi, jiàqián yě hěn hélǐ.","I know a good agent, he helped me find a very good house, the price was very reasonable.","我知道一个还不错的仲介，他帮我找到了很不错的房子，价钱也很合理。 - Wǒ zhīdào yí gè hái búcuò de zhòngjiè, tā bāng wǒ zhǎodào le hěn búcuò de fángzi, jiàqián yě hěn hélǐ.","Wǒ zhīdào yí gè hái búcuò de zhòngjiè, tā bāng wǒ zhǎodào le hěn búcuò de fángzi, jiàqián yě hěn hélǐ. - I know a good agent, he helped me find a very good house, the price was very reasonable."
你到了国外一定要跟我保持联系。,Nǐ dào le guówài yídìng yào gēn wǒ bǎochí liánxì.,Once you go abroad you have to make sure to keep up contact with me.,你到了国外一定要跟我保持联系。 - Nǐ dào le guówài yídìng yào gēn wǒ bǎochí liánxì.,Nǐ dào le guówài yídìng yào gēn wǒ bǎochí liánxì. - Once you go abroad you have to make sure to keep up contact with me.
你的手机响了好久。,Nǐ de shǒujī xiǎngle hǎojiǔ.,His phone rang for a long time.,你的手机响了好久。 - Nǐ de shǒujī xiǎngle hǎojiǔ.,Nǐ de shǒujī xiǎngle hǎojiǔ. - His phone rang for a long time.
今天一大早我就起床，等朋友来接我。,"Jīntiān yí dà zǎo wǒ jiù qǐchuáng, děng péngyou lái jiē wǒ.",I'll get up early this morning and wait for my friends to pick me up.,"今天一大早我就起床，等朋友来接我。 - Jīntiān yí dà zǎo wǒ jiù qǐchuáng, děng péngyou lái jiē wǒ.","Jīntiān yí dà zǎo wǒ jiù qǐchuáng, děng péngyou lái jiē wǒ. - I'll get up early this morning and wait for my friends to pick me up."
他突然有急事先走了。,Tā tūrán yǒu jíshì xiān zǒule.,He suddenly had an emergency and left.,他突然有急事先走了。 - Tā tūrán yǒu jíshì xiān zǒule.,Tā tūrán yǒu jíshì xiān zǒule. - He suddenly had an emergency and left.
非常抱歉，昨天我失约了。,"Fēicháng bàoqiàn, zuótiān wǒ shīyuē le.",I'm sorry that I was missing yesterday.,"非常抱歉，昨天我失约了。 - Fēicháng bàoqiàn, zuótiān wǒ shīyuē le.","Fēicháng bàoqiàn, zuótiān wǒ shīyuē le. - I'm sorry that I was missing yesterday."
我爸爸的年纪大了，不能坐飞机坐太久。,"Wǒ bàba de niánjì dà le, bùnéng zuò fēijī zuò tài jiǔ.","My father's is in old age, he can't go on an airplane for too long.","我爸爸的年纪大了，不能坐飞机坐太久。 - Wǒ bàba de niánjì dà le, bùnéng zuò fēijī zuò tài jiǔ.","Wǒ bàba de niánjì dà le, bùnéng zuò fēijī zuò tài jiǔ. - My father's is in old age, he can't go on an airplane for too long."
那位中年人很有能力，只是运气不好。,"Nà wèi zhōngnián rén hěn yǒu nénglì, zhǐshì yùnqì bùhǎo.","That middle aged person is really skilled, just his luck is bad.","那位中年人很有能力，只是运气不好。 - Nà wèi zhōngnián rén hěn yǒu nénglì, zhǐshì yùnqì bùhǎo.","Nà wèi zhōngnián rén hěn yǒu nénglì, zhǐshì yùnqì bùhǎo. - That middle aged person is really skilled, just his luck is bad."
那个服务生要我们等一下，过了一会就会有其他人来帮我们点菜了。,"Nà ge fúwù shēng yào wǒmen děng yíxià, guò le yìhuǐ jiù huì yǒu qítā rén lái bāng wǒmen diǎncài le.","The waiter asked us to wait, after a while there will be other people to help us order.","那个服务生要我们等一下，过了一会就会有其他人来帮我们点菜了。 - Nà ge fúwù shēng yào wǒmen děng yíxià, guò le yìhuǐ jiù huì yǒu qítā rén lái bāng wǒmen diǎncài le.","Nà ge fúwù shēng yào wǒmen děng yíxià, guò le yìhuǐ jiù huì yǒu qítā rén lái bāng wǒmen diǎncài le. - The waiter asked us to wait, after a while there will be other people to help us order."
每个人都有很多根头发，没有办法算清楚。,"Měi gè rén dōu yǒu hěn duō gēn tóufà, méiyǒu bànfǎ suàn qīngchǔ.","Everyone has a lot of strands of hair, and there's no way to count them.","每个人都有很多根头发，没有办法算清楚。 - Měi gè rén dōu yǒu hěn duō gēn tóufà, méiyǒu bànfǎ suàn qīngchǔ.","Měi gè rén dōu yǒu hěn duō gēn tóufà, méiyǒu bànfǎ suàn qīngchǔ. - Everyone has a lot of strands of hair, and there's no way to count them."
他刚才说的笑话让大家都开心地笑了。,Tā gāngcái shuō de xiàohuà ràng dàjiā dōu kāixīn dì xiàole.,The joke he just told made everyone laugh happily.,他刚才说的笑话让大家都开心地笑了。 - Tā gāngcái shuō de xiàohuà ràng dàjiā dōu kāixīn dì xiàole.,Tā gāngcái shuō de xiàohuà ràng dàjiā dōu kāixīn dì xiàole. - The joke he just told made everyone laugh happily.
你说的这句话是什么意思？,Nǐ shuō de zhè jù huà shì shénme yìsi?,What do you mean by what you just said?,你说的这句话是什么意思？ - Nǐ shuō de zhè jù huà shì shénme yìsi?,Nǐ shuō de zhè jù huà shì shénme yìsi? - What do you mean by what you just said?
今年我没收到压岁钱。,Jīnnián wǒ méi shōudào yāsuìqián.,I did not receive lucky money this year.,今年我没收到压岁钱。 - Jīnnián wǒ méi shōudào yāsuìqián.,Jīnnián wǒ méi shōudào yāsuìqián. - I did not receive lucky money this year.
我会把压岁钱的一部分存起来。,Wǒ huì bǎ yāsuìqián de yíbùfèn cún qǐlái.,I'll keep a portion of New Year's money.,我会把压岁钱的一部分存起来。 - Wǒ huì bǎ yāsuìqián de yíbùfèn cún qǐlái.,Wǒ huì bǎ yāsuìqián de yíbùfèn cún qǐlái. - I'll keep a portion of New Year's money.
今年过年，我们全家要去旅行。,"Jīnnián guònián, wǒmen quánjiā yào qù lǚxíng.","This New Year, our whole family is going traveling.","今年过年，我们全家要去旅行。 - Jīnnián guònián, wǒmen quánjiā yào qù lǚxíng.","Jīnnián guònián, wǒmen quánjiā yào qù lǚxíng. - This New Year, our whole family is going traveling."
过新年的时候，全家人会一起吃饭。,"Guò xīnnián de shíhou, quánjiā rén huì yìqǐ chīfàn.","When celebrating New Years, the whole family will eat together.","过新年的时候，全家人会一起吃饭。 - Guò xīnnián de shíhou, quánjiā rén huì yìqǐ chīfàn.","Guò xīnnián de shíhou, quánjiā rén huì yìqǐ chīfàn. - When celebrating New Years, the whole family will eat together."
我今年包了红包给我的父母。,Wǒ jīnnián bāole hóngbāo gěi wǒ de fùmǔ.,This year I prepared a red envelope to give my parents.,我今年包了红包给我的父母。 - Wǒ jīnnián bāole hóngbāo gěi wǒ de fùmǔ.,Wǒ jīnnián bāole hóngbāo gěi wǒ de fùmǔ. - This year I prepared a red envelope to give my parents.
你说的话有道理。,Nǐ shuō de huà yǒu dàolǐ.,What you say makes sense.,你说的话有道理。 - Nǐ shuō de huà yǒu dàolǐ.,Nǐ shuō de huà yǒu dàolǐ. - What you say makes sense.
你有零花钱吗？,Nǐ yǒu líng huā qián ma?,Do you have pocket money?,你有零花钱吗？ - Nǐ yǒu líng huā qián ma?,Nǐ yǒu líng huā qián ma? - Do you have pocket money?
我的父母允许我每个周末和朋友出去玩。,Wǒ de fùmǔ yǔnxǔ wǒ měi gè zhōumò hé péngyou chūqù wán.,My parents allow me to go out with my friends every weekend.,我的父母允许我每个周末和朋友出去玩。 - Wǒ de fùmǔ yǔnxǔ wǒ měi gè zhōumò hé péngyou chūqù wán.,Wǒ de fùmǔ yǔnxǔ wǒ měi gè zhōumò hé péngyou chūqù wán. - My parents allow me to go out with my friends every weekend.
你不要再乱买东西了。,Nǐ búyào zài luàn mǎi dōngxi le.,You shouldn't just randomly buy things.,你不要再乱买东西了。 - Nǐ búyào zài luàn mǎi dōngxi le.,Nǐ búyào zài luàn mǎi dōngxi le. - You shouldn't just randomly buy things.
你去过哪些着名的城市？,Nǐ qùguò nǎxiē zhùmíng de chéngshì?,What famous cities have you been to?,你去过哪些着名的城市？ - Nǐ qùguò nǎxiē zhùmíng de chéngshì?,Nǐ qùguò nǎxiē zhùmíng de chéngshì? - What famous cities have you been to?
你知道中国的首都在哪儿吗？,Nǐ zhīdào Zhōngguó de shǒudū zài nǎr ma?,Do you know where the capital of China is?,你知道中国的首都在哪儿吗？ - Nǐ zhīdào Zhōngguó de shǒudū zài nǎr ma?,Nǐ zhīdào Zhōngguó de shǒudū zài nǎr ma? - Do you know where the capital of China is?
这次旅行的目的地是上海。,Zhè cì lǚxíng de mùdìdì shì Shànghǎi.,The destination of this travel is Shanghai.,这次旅行的目的地是上海。 - Zhè cì lǚxíng de mùdìdì shì Shànghǎi.,Zhè cì lǚxíng de mùdìdì shì Shànghǎi. - The destination of this travel is Shanghai.
你的脸太脏了，快去洗一洗吧！,"Nǐ de liǎn tài zāng le, kuài qù xǐ yì xǐ ba!","Your face is too dirty, quickly wash it!","你的脸太脏了，快去洗一洗吧！ - Nǐ de liǎn tài zāng le, kuài qù xǐ yì xǐ ba!","Nǐ de liǎn tài zāng le, kuài qù xǐ yì xǐ ba! - Your face is too dirty, quickly wash it!"
这个国家有许多不同的民族生活在一起。,Zhège guójiā yǒu xǔduō bùtóng de mínzú shēnghuó zài yìqǐ.,This country has a lot of different ethnicities living together.,这个国家有许多不同的民族生活在一起。 - Zhège guójiā yǒu xǔduō bùtóng de mínzú shēnghuó zài yìqǐ.,Zhège guójiā yǒu xǔduō bùtóng de mínzú shēnghuó zài yìqǐ. - This country has a lot of different ethnicities living together.
他一直不听我解释，该怎么办？,"Tā yìzhí bù tīng wǒ jiěshì, gāi zěnmebàn?","He never listens to my explanations, what should I do?","他一直不听我解释，该怎么办？ - Tā yìzhí bù tīng wǒ jiěshì, gāi zěnmebàn?","Tā yìzhí bù tīng wǒ jiěshì, gāi zěnmebàn? - He never listens to my explanations, what should I do?"
你先冷静下来，不要这么生气。,"Nǐ xiān lěngjìng xiàlái, búyào zhème shēngqì.","First calm down, no need to be so angry.","你先冷静下来，不要这么生气。 - Nǐ xiān lěngjìng xiàlái, búyào zhème shēngqì.","Nǐ xiān lěngjìng xiàlái, búyào zhème shēngqì. - First calm down, no need to be so angry."
他为什么不能理解我的感受？,Tā wèishénme bùnéng lǐjiě wǒ de gǎnshòu?,We can't he understanding my feelings?,他为什么不能理解我的感受？ - Tā wèishénme bùnéng lǐjiě wǒ de gǎnshòu?,Tā wèishénme bùnéng lǐjiě wǒ de gǎnshòu? - We can't he understanding my feelings?
他很喜欢吃巧克力，每天都要吃一块。,"Tā hěn xǐhuan chī qiǎokèlì, měitiān dōu yào chī yíkuài.","He loves to eat chocolate, every day he likes to have a piece.","他很喜欢吃巧克力，每天都要吃一块。 - Tā hěn xǐhuan chī qiǎokèlì, měitiān dōu yào chī yíkuài.","Tā hěn xǐhuan chī qiǎokèlì, měitiān dōu yào chī yíkuài. - He loves to eat chocolate, every day he likes to have a piece."
我热得快受不了。,Wǒ rè de kuài shòubùliǎo.,I'm so how I soon can't bear it.,我热得快受不了。 - Wǒ rè de kuài shòubùliǎo.,Wǒ rè de kuài shòubùliǎo. - I'm so how I soon can't bear it.
你先别激动，听我慢慢说。,"Nǐ xiān bié jīdòng, tīng wǒ mànman shuō.","Don't get too excited, listen to me slowly talk.","你先别激动，听我慢慢说。 - Nǐ xiān bié jīdòng, tīng wǒ mànman shuō.","Nǐ xiān bié jīdòng, tīng wǒ mànman shuō. - Don't get too excited, listen to me slowly talk."
你住的地区交通方便吗？,Nǐ zhù de dìqū jiāotōng fāngbiàn ma?,Is transportation convenient in the area you live?,你住的地区交通方便吗？ - Nǐ zhù de dìqū jiāotōng fāngbiàn ma?,Nǐ zhù de dìqū jiāotōng fāngbiàn ma? - Is transportation convenient in the area you live?
"他一直很用功读书，结果考试的时候生病了, 不能去考试。","Tā yìzhí hěn yònggōng dúshū, jiéguǒ kǎoshì de shíhou shēngbìng le, bùnéng qù kǎoshì.","He has been studying hard, but he was sick when it was time for the test, and was unable to go to the test.","他一直很用功读书，结果考试的时候生病了, 不能去考试。 - Tā yìzhí hěn yònggōng dúshū, jiéguǒ kǎoshì de shíhou shēngbìng le, bùnéng qù kǎoshì.","Tā yìzhí hěn yònggōng dúshū, jiéguǒ kǎoshì de shíhou shēngbìng le, bùnéng qù kǎoshì. - He has been studying hard, but he was sick when it was time for the test, and was unable to go to the test."
下个星期会有台风。,Xià ge xīngqī huì yǒu táifēng.,There will be a typhoon next week.,下个星期会有台风。 - Xià ge xīngqī huì yǒu táifēng.,Xià ge xīngqī huì yǒu táifēng. - There will be a typhoon next week.
他让我提醒你，明天要记得带伞。,"Tā ràng wǒ tíxǐng nǐ, míngtiān yào jìde dài sǎn.","He had me remind you, tomorrow you should bring an umbrella.","他让我提醒你，明天要记得带伞。 - Tā ràng wǒ tíxǐng nǐ, míngtiān yào jìde dài sǎn.","Tā ràng wǒ tíxǐng nǐ, míngtiān yào jìde dài sǎn. - He had me remind you, tomorrow you should bring an umbrella."
台风天不要去海边，以免发生意外。,"Táifēng tiān búyào qù hǎibiān, yǐmiǎn fāshēng yìwài.","On Typhoon days don't go the beach, so as to avoid an accident.","台风天不要去海边，以免发生意外。 - Táifēng tiān búyào qù hǎibiān, yǐmiǎn fāshēng yìwài.","Táifēng tiān búyào qù hǎibiān, yǐmiǎn fāshēng yìwài. - On Typhoon days don't go the beach, so as to avoid an accident."
真的很感谢你送我这个生日礼物。,Zhēnde hěn gǎnxiè nǐ sòng wǒ zhège shēngrì lǐwù.,Really thanks so much for the birthday gift you gave me.,真的很感谢你送我这个生日礼物。 - Zhēnde hěn gǎnxiè nǐ sòng wǒ zhège shēngrì lǐwù.,Zhēnde hěn gǎnxiè nǐ sòng wǒ zhège shēngrì lǐwù. - Really thanks so much for the birthday gift you gave me.
今天见到你，真的十分高兴。,"Jīntiān jiàndào nǐ, zhēnde shífēn gāoxìng.",Seeing you today really makes me very happy.,"今天见到你，真的十分高兴。 - Jīntiān jiàndào nǐ, zhēnde shífēn gāoxìng.","Jīntiān jiàndào nǐ, zhēnde shífēn gāoxìng. - Seeing you today really makes me very happy."
少了他在身边一起生活，真的很不习惯。,"Shǎole tā zài shēnbiān yìqǐ shēnghuó, zhēnde hěn bù xíguàn.","Living without him by my side, I really am not used to it.","少了他在身边一起生活，真的很不习惯。 - Shǎole tā zài shēnbiān yìqǐ shēnghuó, zhēnde hěn bù xíguàn.","Shǎole tā zài shēnbiān yìqǐ shēnghuó, zhēnde hěn bù xíguàn. - Living without him by my side, I really am not used to it."
目前，大家都过得很好，你不要担心。,"Mùqián, dàjiā dōu guò de hěnhǎo, nǐ búyào dānxīn.","Currently, everyone's doing well, no need to worry.","目前，大家都过得很好，你不要担心。 - Mùqián, dàjiā dōu guò de hěnhǎo, nǐ búyào dānxīn.","Mùqián, dàjiā dōu guò de hěnhǎo, nǐ búyào dānxīn. - Currently, everyone's doing well, no need to worry."
受到他的影响，我也喜欢上健身了。,"Shòudào tā de yǐngxiǎng, wǒ yě xǐhuan shàng jiànshēn le.","After getting affected by him, I also like to work out.","受到他的影响，我也喜欢上健身了。 - Shòudào tā de yǐngxiǎng, wǒ yě xǐhuan shàng jiànshēn le.","Shòudào tā de yǐngxiǎng, wǒ yě xǐhuan shàng jiànshēn le. - After getting affected by him, I also like to work out."
非常抱歉，上次不能及时回你的电话。,"Fēicháng bàoqiàn, shàngcì bùnéng jíshí huí nǐ de diànhuà.","I'm so sorry, last time I was unable to immediately return your call.","非常抱歉，上次不能及时回你的电话。 - Fēicháng bàoqiàn, shàngcì bùnéng jíshí huí nǐ de diànhuà.","Fēicháng bàoqiàn, shàngcì bùnéng jíshí huí nǐ de diànhuà. - I'm so sorry, last time I was unable to immediately return your call."
他是一个有自信的人。,Tā shì yígè yǒu zìxìn de rén.,He is a man with confidence.,他是一个有自信的人。 - Tā shì yígè yǒu zìxìn de rén.,Tā shì yígè yǒu zìxìn de rén. - He is a man with confidence.
老师表扬我汉语说得好。,Lǎoshī biǎoyáng wǒ hànyǔ shuō dé hǎo,The teacher commended me for by Chinese speaking skills.,老师表扬我汉语说得好。 - Lǎoshī biǎoyáng wǒ hànyǔ shuō dé hǎo,Lǎoshī biǎoyáng wǒ hànyǔ shuō dé hǎo - The teacher commended me for by Chinese speaking skills.
这一题汉字你会写吗？,Zhè yì tí hànzì nǐ huì xiě ma ？,Can you write this Chinese character?,这一题汉字你会写吗？ - Zhè yì tí hànzì nǐ huì xiě ma ？,Zhè yì tí hànzì nǐ huì xiě ma ？ - Can you write this Chinese character?
你要主动帮忙做家事。,Nǐ yào zhǔdòng bāngmáng zuò jiāshì.,You have to actively help with household chores.,你要主动帮忙做家事。 - Nǐ yào zhǔdòng bāngmáng zuò jiāshì.,Nǐ yào zhǔdòng bāngmáng zuò jiāshì. - You have to actively help with household chores.
他家接近市场，买东西很方便。,"Tā jiā jiējìn shìchǎng, mǎi dōngxi hěn fāngbiàn.","There's a market right next to his house, it's very convenient to buy things.","他家接近市场，买东西很方便。 - Tā jiā jiējìn shìchǎng, mǎi dōngxi hěn fāngbiàn.","Tā jiā jiējìn shìchǎng, mǎi dōngxi hěn fāngbiàn. - There's a market right next to his house, it's very convenient to buy things."
我在中国上学的时候，特别喜欢吃面条。,"Wǒ zài Zhōngguó shàngxué de shíhou, tèbié xǐhuan chī miàntiáo.","When I studied in China, I really enjoyed eating noodles.","我在中国上学的时候，特别喜欢吃面条。 - Wǒ zài Zhōngguó shàngxué de shíhou, tèbié xǐhuan chī miàntiáo.","Wǒ zài Zhōngguó shàngxué de shíhou, tèbié xǐhuan chī miàntiáo. - When I studied in China, I really enjoyed eating noodles."
他的汉语水平不高，很多句子都不会说。,"Tā de hànyǔ shuǐpíng bùgāo, hěnduō jùzi dōu búhuì shuō.","HIs Chinese level isn't high, there's a lot of Phrases he still can't say.","他的汉语水平不高，很多句子都不会说。 - Tā de hànyǔ shuǐpíng bùgāo, hěnduō jùzi dōu búhuì shuō.","Tā de hànyǔ shuǐpíng bùgāo, hěnduō jùzi dōu búhuì shuō. - HIs Chinese level isn't high, there's a lot of Phrases he still can't say."
你离开的时候，记得把门关上。,"Nǐ líkāi de shíhou, jìde bǎ mén guānshàng.","When you leave, remember to shut the door.","你离开的时候，记得把门关上。 - Nǐ líkāi de shíhou, jìde bǎ mén guānshàng.","Nǐ líkāi de shíhou, jìde bǎ mén guānshàng. - When you leave, remember to shut the door."
我可以担保他的诚实。,Wǒ kěyǐ dānbǎo tā de chéngshí.,I can vouch for his honesty.,我可以担保他的诚实。 - Wǒ kěyǐ dānbǎo tā de chéngshí.,Wǒ kěyǐ dānbǎo tā de chéngshí. - I can vouch for his honesty.
我为我儿子感到骄傲。,Wǒ wèi wǒ érzi gǎndào jiāo'ào.,I'm proud of my son.,我为我儿子感到骄傲。 - Wǒ wèi wǒ érzi gǎndào jiāo'ào.,Wǒ wèi wǒ érzi gǎndào jiāo'ào. - I'm proud of my son.
学校在纪律方面很严格。,Xuéxiào zài jìlǜ fāngmiàn hěn yángé.,The school is very strict in its discipline.,学校在纪律方面很严格。 - Xuéxiào zài jìlǜ fāngmiàn hěn yángé.,Xuéxiào zài jìlǜ fāngmiàn hěn yángé. - The school is very strict in its discipline.
他很害羞，都不敢和女孩子说话。,"Tā hěn hàixiū, dōu bù gǎn hé nǚ háizi shuōhuà.","He's very shy, he doesn't dare talk to girls.","他很害羞，都不敢和女孩子说话。 - Tā hěn hàixiū, dōu bù gǎn hé nǚ háizi shuōhuà.","Tā hěn hàixiū, dōu bù gǎn hé nǚ háizi shuōhuà. - He's very shy, he doesn't dare talk to girls."
